"ID","LongDec","LatDec","Date","Day","Month","Year","Point_Time","Location","Bird_Recording_Activity","Habitat_Code","Behaviour","Wedge_Tailed_Shearwater","Audubons_Shearwater","Flesh_footed_Shearwater","Red_Tailed_Tropicbird","White_tailed_Tropicbird","Masked_Bobby","Red_footed_Booby","Brown_Booby","Great_Frigatebird","Lesser_Frigatebird","Greater_Crested_Tern","Roseate_Tern","Common_Tern","Black_Naped_Tern","Little_Tern","Bridled_Tern","Sooty_Tern","White_Tern","Brown_Noddy","Lesser_Noddy","Wilsons_Storm_Petrel","Matsudairas_Storm_Petrel","White_faced_Storm_Petrel","Tahiti_Petrel","Bulwers_Petrel","Jouanins_Petrel","Charadrius_leschenaultii","Stercoriidae.sp","Unidentified_birds","Bath","Slope","Chl_Climonth","Chl_month","Chl_Week","PAR_Climonth","PAR_month","PAR_Week","SST_Climonth","SST_month","SST_Week","NPP_Climonth","NPP_month","NPP_Week","SLA_Climonth","SLA_month","SLA_Week","Dist_Coast","Dist_Atoll","Dist_Island","Dist_Group","Rat_Group","Dist_Coast_R","Atoll_R","Island_R","Dist_Coast_NR","Atoll_NR","Island_NR"
1,72.1081666667,-7.1404166667,"21-Nov-12",21,11,2012,"8.15","Sandes_Mount","Transect","M","Foraging",2,NA,NA,NA,NA,NA,5,NA,1,NA,1,NA,NA,NA,NA,NA,2,2,16,2,2,3,NA,1,2,NA,NA,NA,2,-442,28.1364898682,0.1201367751,0.0593019985,0.0593019985,47.7759991582,49.6572303772,51.9959182739,28.8599993549,29.8699993324,29.8699993324,1332.1497662082,744.2974526308,774.653724106,0.1132906061,0.20435,0.20305,32.0574519811687,"Diego_Garcia","Noth_West","Diego_North",0,32.0574519811687,"Diego_Garcia","Noth_West",34.6143808130274,"Diego_Garcia","Middle_Islad"
2,72.1905666667,-7.1549666667,"24-Nov-12",24,11,2012,"9.3","Sandes_Mount","PointCount","M","Feeding",NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,27,NA,15,12,NA,NA,1,NA,NA,NA,NA,-672,5.9906315804,0.1148928553,0.0532119982,0.0605733256,47.2659991339,50.8100013733,47.1497001648,28.9399993531,29.8999993317,28.6949993586,1271.1104338275,695.9625562867,809.6081477774,0.1132906061,0.20435,0.15855,23.4035113112598,"Diego_Garcia","Noth_West","Diego_North",0,23.4035113112598,"Diego_Garcia","Noth_West",25.4567393909604,"Diego_Garcia","Middle_Islad"
3,72.1209833333,-7.1490166667,"24-Nov-12",24,11,2012,"14.3","Sandes_Mount","Aggregate","M","Feeding",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-90,4.4862742424,0.1201367751,0.0593019985,0.0604962366,47.7759991582,49.6572303772,50.8486633301,28.8599993549,29.8699993324,28.6949993586,1332.1497662082,744.2974526308,864.0473175708,0.1132906061,0.20435,0.15855,30.3619432247135,"Diego_Garcia","Noth_West","Diego_North",0,30.3619432247135,"Diego_Garcia","Noth_West",32.9902907062698,"Diego_Garcia","Middle_Islad"
4,72.06295,-7.13,"24-Nov-12",24,11,2012,"15.15","Sandes_Mount","Transect","M","Foraging",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,27,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,-766,11.5005884171,0.1184250787,0.0585229993,0.0605913292,47.8399991612,48.9924201965,49.3438949585,28.9249993535,29.7599993348,28.3849993655,1315.9421728931,737.5091795016,862.6454446213,0.1132906061,0.20435,0.15855,37.0419559987516,"Diego_Garcia","Noth_West","Diego_North",0,37.0419559987516,"Diego_Garcia","Noth_West",39.7293354486623,"Diego_Garcia","Middle_Islad"
5,71.8975166667,-7.1663333333,"24-Nov-12",24,11,2012,"17","Sandes_Mount","Transect","M","Foraging",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,-773,0.70401752,0.1236643046,0.0593019985,0.0603420004,47.8159991601,48.7507896423,51.606464386,29.0149993515,29.8649993325,28.1199993715,1356.4810660294,732.8606850043,911.1262395666,0.1112439394,0.20353,0.15965,53.0455844725723,"Diego_Garcia","Noth_West","Diego_North",0,53.0455844725723,"Diego_Garcia","Noth_West",56.8589231848555,"Diego_Garcia","Middle_Islad"
6,71.8426,-7.148,"24-Nov-12",24,11,2012,"18","Sandes_Mount","Transect","M","Foraging",1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,-736,1.7058918476,0.1233649552,0.0593019985,0.061567001,47.4539991429,48.2068748474,50.1737556458,29.07999935,29.7649993347,29.1149993492,1341.8915603439,734.1055835152,834.1859571061,0.1112439394,0.20353,0.15965,59.4126089681773,"Diego_Garcia","Noth_West","Diego_North",0,59.4126089681773,"Diego_Garcia","Noth_West",63.1370812896113,"Diego_Garcia","Middle_Islad"
7,71.7265333333,-7.20065,"24-Nov-12",24,11,2012,"19","Sandes_Mount","Transect","M","Foraging",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-981,5.7928142548,0.1376637071,0.0577809997,0.0577809997,47.5539991476,47.2545967102,45.8189926147,28.9749993524,29.5199993402,29.3449993441,1471.4376635455,726.9802655061,720.6857695136,0.1094915152,0.2031333333,0.161175,68.6901811556297,"Egmont_Islands","Ile_Sudest","Egmont",1,68.6901811556297,"Egmont_Islands","Ile_Sudest",75.3627792075744,"Diego_Garcia","Middle_Islad"
8,70.9472666667,-7.3583,"25-Nov-12",25,11,2012,"7.15","Ganges_Bank","Transect","B","Foraging",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,-814,39.601348877,0.1326558292,0.1035540029,0.0615743337,47.8759991629,45.2085647583,35.3284378052,28.944999353,29.6499993373,29.1672215703,1438.5119119042,1089.1682633183,608.0353994097,0.0981206061,0.1864466667,0.15975,87.755548246132,"Egmont_Islands","Ile_Lubine","Egmont",1,87.755548246132,"Egmont_Islands","Ile_Lubine",112.607736766293,"Great_Chagos_Bank","Danger_Island"
9,70.95755,-7.3643166667,"25-Nov-12",25,11,2012,"8.15","Ganges_Bank","Transect","B","Foraging",6,NA,NA,NA,NA,NA,13,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-214,30.063243866,0.1326558292,0.1035540029,0.0615743337,47.8759991629,45.2085647583,35.3284378052,28.944999353,29.6499993373,29.1672215703,1438.5119119042,1089.1682633183,608.0353994097,0.0981206061,0.1864466667,0.15975,87.8030611098064,"Egmont_Islands","Ile_Lubine","Egmont",1,87.8030611098064,"Egmont_Islands","Ile_Lubine",112.930411636643,"Great_Chagos_Bank","Danger_Island"
10,70.9867666667,-7.3736,"25-Nov-12",25,11,2012,"9.15","Ganges_Bank","Transect","B","Foraging",4,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-154,13.4895486832,0.1323788315,0.1060059965,0.0651479982,47.9439991661,43.8796806335,33.8686676025,28.9749993524,29.6299993377,28.5883326943,1436.6547767676,1082.4921433447,637.3644072118,0.0981206061,0.1864466667,0.15975,87.2630057136087,"Egmont_Islands","Ile_Lubine","Egmont",1,87.2630057136087,"Egmont_Islands","Ile_Lubine",113.08345660982,"Great_Chagos_Bank","Danger_Island"
